Key,Source,Context,Changes,English,French,German,Klingon,Spanish
treasure_claude_offer,,Challenge Info,KgNone,"Olá Amigo,\nEu nem sequer sei de você, mas eu tenho que compartilhar meus pensamentos na minha hora mais sombria. Eu fui mordido por um dos monstros e posso me sentir transformando. Como eu luto contra a vontade de comer a minha própria família, eu sinto a necessidade de fazer uma última boa ação. Siga este mapa para um dos meus vários estoques pessoais. Que isto possa te manter vivo.\n\nAtenciosamente, Claude","Salut camarade,\nJe ne te connais pas, mais je ressens le besoin de partager mes pensées en ces temps si sombres. La morsure de l'un de ces monstres me pousse à me transformer. Alors que je lutte contre l'envie de dévorer ma famille, j'ai besoin de faire une dernière bonne action. Suis cette carte, elle te guidera vers l'une de mes nombreuses réserves personnelles. J'espère qu'elle t'aidera à survivre.\n\nSincèrement, Claude","Hallo Freund!\nIch kenne dich gar nicht, aber ich muss meine Gedanken in meiner dunkelsten Stunde teilen. Ich wurde von einem dieser Monster gebissen und ich spüre, wie ich mich verwandle. Während ich gegen das Verlangen ankämpfe, meine ganze Familie aufzufressen, möchte ich eine letzte gute Tat vollbringen. Folge dieser Karte, um eines meiner vielen persönlichen Verstecke mit Vorräten zu finden. Hoffentlich hält es dich am Leben.\n\nMit besten Grüßen Claude",,"Hola, amigo/a:\nNi siquiera te conozco, pero tengo que compartir mis pensamientos en el peor de los momentos. Uno de esos monstruos me ha mordido. Puedo sentir cómo me estoy convirtiendo. Lucho contra las ganas de comerme a mi propia familia, pero siento la necesidad de hacer una última buena acción. Sigue este mapa, te llevará hacia una de mis muchas reservas personales. Espero que te mantenga con vida.\n\nSinceramente, Claude."
treasure_claude_subtitle,,Challenge Info,KgNone,Mapa do Tesouro de Claude,La carte au trésor de Claude,Claudes Schatzkarte,,Mapa del tesoro de Claude
treasure_jennifer_offer,,Challenge Info,KgNone,"Para quem encontrar esta nota,\nAmigo, o fim está próximo. Os monstros estão quebrando a minha porta, mas nos meus momentos finais, só posso pensar em como eu gostaria de ser lembrada. Não como uma covarde, mas como alguém que pensa nos outros. Te deixo este mapa para um de meus vários baús secretos enterrados.\n\Deus Te Abençoe, Jennifer","À qui trouvera ce message,\nCamarade, la fin est proche. Les monstres s'apprêtent à enfoncer ma porte. Dans mes derniers instants, je pense à ce que je laisse derrière moi. J'aimerais que les gens pensent à mon altruisme plutôt qu'à ma lâcheté. Je te laisse cette carte qui te guidera vers l'un de mes nombreux coffres secrets enterrés.\n\nQue Dieu te bénisse, Jennifer","An denjenigen, der diese Notiz findet!\nFreund, das Ende ist nahe. Die Monster brechen meine Tür auf, aber in meinen letzten Momenten kann ich nur daran denken, wie ich in Erinnerung bleiben möchte. Nicht als Feigling, sondern als jemand, der an andere denkt. Ich hinterlasse dir diese Karte, die dich zu einer meiner vielen geheimen Truhen führt, die ich vergraben habe.\n\nGott segne dich! Jennifer",,"A quier corresponda:\nAmigo, el final está cerca. Los monstruos están derribando la puerta, pero en mis últimos momentos, solo puedo pensar en cómo quiero que me recuerden. No como una cobarde, sino como alguien que pensaba en los demás. Te dejo este mapa. Lleva hacia uno de mis muchos cofres secretos enterrados.\n\nDios te bendiga, Jennifer."
treasure_jennifer_subtitle,,Challenge Info,KgNone,Mapa do Tesouro de Jennifer,La carte au trésor de Jennifer,Jennifers Schatzkarte,,Mapa del tesoro de Jennifer
treasure_nickole_offer,,Challenge Info,KgNone,"Para quem possa se interessar,\nSe você chegou a pegar esta nota, então muito possivelmente, eu fui comida pelos mortos. Siga este mapa para um dos meus muitos locais de tesouros valiosos, eu enterrei para manter a salvo de Crazy Jake. Se você encontrá-lo, você pode fazer um bom uso dele.\n\nMuitas Felicidades, Nickole","À qui lira ce message,\nSi tu as ces mots en ta possession, c'est que les morts ont fini par me dévorer. Suis cette carte pour trouver l'un des nombreux et précieux trésors que j'ai protégés de Jake le cinglé. Si tu le trouves, utilise-le à bon escient.\n\nAmicalement, Nickole","An alle, die es angeht!\nWenn du im Besitz dieser Notiz bist, dann ist es gut möglich, dass ich von den Toten aufgefressen wurde. Folge dieser Karte zu einem meiner Verstecke mit wertvollen Schätzen, die ich vergraben habe, damit Crazy Jake sie nicht findet. Wenn du es findest, mach das Beste daraus.\n\nLiebe Grüße Nickole",,"A quien corresponda:\nSi encontraste esta nota, probablemente fui cena de los muertos. Sigue este mapa para encontrar uno de mis muchos tesoros. Están enterrados bajo tierra para ocultarlos de Jake el Loco. Si lo encuentras, espero que te sea útil.\n\nBuena suerte, Nickole."
treasure_nickole_subtitle,,Challenge Info,KgNone,Mapa do Tesouro de Nickole,La carte au trésor de Nickole,Nickoles Schatzkarte,,Mapa del tesoro de Nickole
treasure_raphael_offer,,Challenge Info,KgNone,"Caro Estranho,\nEu tenho suores frios e não será por muito tempo. Tudo que eu posso pensar nos meus momentos finais, é se o meu filho Joey ainda está vivo. Eu não tenho nenhuma razão para confiar em você, mas não tenho escolha. Crazy Jake raptou ele. Na sua mão está um mapa para uma dos meus vários esconderijos de suprimentos secretos. Prometa-me que se você encontrá-lo, você vai ajudar o meu filho.\n\nEstou contando com você, Raphael","Bonjour,\nJ'ai des sueurs froides et il ne me reste pas longtemps à vivre. Dans ma dernière heure, une seule pensée m'obsède : et si mon fils Joey était toujours en vie ? Je n'ai aucune raison de te faire confiance, mais je n'ai pas d'autre choix. Jake le cinglé l'a enlevé. Tu as entre les mains la carte vers l'une de mes nombreuses cachettes secrètes de provisions. Promets-moi que si tu la trouves, tu iras aider mon fils.\n\nJe compte sur toi, Raphael.","Lieber Fremder!\nDer kalte Schweiß ist ausgebrochen, jetzt dauert es nicht mehr lange. In meinen letzten Momenten kann ich nur daran denken, ob mein Sohn Joey noch lebt. Ich habe keinen Grund, dir zu vertrauen, aber mir bleibt nichts anderes übrig. Crazy Jake hat ihn entführt. Du hältst eine Karte zu einem meiner vielen geheimen Vorratslager in Händen. Versprich mir, dass du meinem Sohn helfen wirst, wenn du es findest.\n\nIch zähle auf dich! Raphael",,"Querido/a extraño/a:\nTengo escalofríos y no duraré mucho más. Todo lo que puedo pensar en mis últimos momentos es si mi hijo Joey seguirá vivo. No tengo razones para confiar en ti, pero tampoco tengo alternativa. Jake el Loco lo secuestró. En las manos tienes un mapa que te llevará hacia uno de mis muchos escondites de suministros secretos. Prométeme que si lo encuentras, ayudarás a mi hijo.\n\nCuento contigo, Raphael."
treasure_raphael_subtitle,,Challenge Info,KgNone,Mapa do Tesouro de Raphael,La carte au trésor de Raphael,Raphaels Schatzkarte,,Mapa del tesoro de Raphael
treasure_sarah_offer,,Challenge Info,KgNone,"Se você encontrou essa nota,\nEste pode ser o seu dia de sorte. Eu fui mordida por uma das criaturas e a febre tomou conta de mim. Eu não tenho muito tempo, mas o mínimo que eu poderia fazer antes de eu virar um deles, é ajudar alguém, qualquer um como Deus iria querer. Se ainda existir um Deus. Então, vou deixar como você este mapa para um dos meus vários baús de suprimentos enterrados.\n\nPara uma nova vida, Sarah","Si tu as trouvé ce message,\nC'est ton jour de chance. J'ai été mordue par l'une des créatures et ma fièvre est de plus en plus forte. Il ne me reste pas longtemps à vivre, mais le moins que je puisse faire avant de me transformer est d'aider quelqu'un d'autre, n'importe qui, comme Dieu le voudrait. S'il existe encore. Je te laisse donc cette carte qui te guidera vers l'un de mes nombreux coffres de provisions enterrés.\n\nAdieu, Sarah","Wenn du diese Notiz gefunden hast,\ndann ist heute vielleicht dein Glückstag. Ich wurde von einer dieser Kreaturen gebissen und das Fieber hat schon eingesetzt. Mir bleibt nicht mehr viel Zeit, aber bevor ich mich verwandle, kann ich zumindest jemandem helfen, so wie es Gott gewollt hätte. Falls es noch einen Gott gibt. Darum hinterlasse ich dir diese Karte, die dich zu einer meiner vielen vergrabenen Vorratstruhen führt.\n\nAuf ein neues Leben! Sarah",,"Al que encuentre esta nota:\nPuede que sea tu día de suerte. Una de esas criaturas me mordió. Tengo mucha fiebre. No me queda mucho tiempo, pero por lo menos puedo ayudar a alguien antes de convertirme. A cualquiera, tal y como Dios querría. Si es que aún hay un Dios. Te dejo este mapa. Lleva hacia uno de mis muchos cofres de suministros enterrados.\n\nPor una vida nueva, Sarah."
treasure_sarah_subtitle,,Challenge Info,KgNone,Mapa do Tesouro de Sarah,La carte au trésor de Sarah,Sarahs Schatzkarte,,Mapa del tesoro de Sarah
treasure_stephan_offer,,Challenge Info,KgNone,"Caro Amigo,\nSe você pegou esta nota, então eu estou morto ou pior ainda, virei um dos monstros. Eu deixo com você este mapa para um dos meus muitos estoques de suprimentos enterrados. Se você encontrá-lo, me prometa que vai usá-lo para fazer o mundo um lugar melhor novamente.\n\nSinceramente, Stephan","Camarade,\nSi tu lis ce message, je suis certainement mort ou, pire, je suis devenu l'un des monstres. Je te laisse donc cette carte, qui te guidera vers l'un de mes nombreux stocks enterrés. Si tu le retrouves, promets-moi que tu t'en serviras pour rendre ce monde meilleur.\n\nTon serviteur, Stephan","Lieber Freund!\nWenn du diese Notiz hast, dann bin ich wahrscheinlich tot oder, noch schlimmer, eines von den Monstern. Ich hinterlasse dir diese Karte, die dich zu einem meiner zahlreichen Verstecke führt, wo ich Vorräte vergraben habe. Wenn du es findest, versprich mir, dass du diese Welt damit wieder zu einem besseren Ort machst.\n\nHochachtungsvoll Stephan",,"Querido/a amigo/a:\nSi tienes esta nota, probablemente esté muerto, o peor, puede que sea uno de esos monstruos. Te dejo este mapa. Te llevará a una de mis muchas reservas de suministros enterradas. Si la encuentras, promete que la usarás para hacer de este mundo un lugar mejor otra vez.\n\nCon amor, Stephan."
treasure_stephan_subtitle,,Challenge Info,KgNone,Mapa do Tesouro de Stephan,La carte au trésor de Stephan,Stephans Schatzkarte,,Mapa del tesoro de Stephan
treasure_taylor_offer,,Challenge Info,KgNone,"Caro Sobrevivente,\nSe você está lendo essa nota, então provavelmente o pior aconteceu e as chances são de que estou morta. Mas em vez de deixar todo o meu estoque de suprimentos ir para o lixo, eu gostaria que você pegasse um deles. Eu marquei o local no mapa para você.\n\nBoa Sorte, Taylor","Bonjour,\nSi tu lis ce message, c'est que le pire est arrivé et que je n'ai probablement pas survécu. Plutôt que de gaspiller toutes mes réserves, je voudrais que tu en utilises une. L'emplacement est indiqué sur cette carte.\n\nBonne chance, Taylor","Lieber Überlebender!\nWenn du diese Notiz liest, dann ist wohl das Schlimmste eingetreten und ich bin wahrscheinlich tot. Aber da ich nicht möchte, dass niemand etwas von meinen Vorräten hat, sollst du eines meiner Verstecke aufsuchen. Ich habe den Standort auf dieser Karte markiert.\n\nViel Glück! Taylor",,"Querido/a sobreviviente:\nSi estás leyendo esta nota, probablemente sucedió lo peor y la muerte me haya llevado. Pero en lugar de dejar que mi alijo se desperdicie, quiero que tú lo tengas. Marqué su ubicación en este mapa.\n\nBuena suerte, Taylor."
treasure_taylor_subtitle,,Challenge Info,KgNone,Mapa do Tesouro de Taylor,La carte au trésor de Taylor,Taylors Schatzkarte,,Mapa del tesoro de Taylor
difficulty_easy,,Difficulty,KgNone,Fácil,Facile,Einfach,,Fácil
difficulty_hard,,Difficulty,KgNone,Difícil,Difficile,Schwierig,,Difícil
difficulty_insane,,Difficulty,KgNone,Insano,Extrême,Irre,,Demente
difficulty_medium,,Difficulty,KgNone,Médio,Moyenne,Mittel,,Medio
difficulty_veryeasy,,Difficulty,KgNone,Muito Fácil,Très facile,Sehr einfach,,Muy fácil
completed,,Keywords,KgNone,Concluído(a),Terminée,Abgeschlossen,,Completada
failed,,Keywords,KgNone,Fracassado(a),Échec,Fehlgeschlagen,,Fallida
ObjectiveAnimalKill_keyword,,Keywords,KgNone,Matar,Tuer,Töten,,Mata
ObjectiveAssemble_keyword,,Keywords,KgNone,Montar,Assembler,Zusammensetzen,,Ensambla
ObjectiveBlockActivate_keyword,,Keywords,KgNone,Ativar,,,,
ObjectiveBlockPickup_keyword,,Keywords,KgNone,Pegar,Ramasser,Aufheben,,Recoge
ObjectiveBlockPlace_keyword,,Keywords,KgNone,Colocar,Placer,platziert,,Coloca
ObjectiveBlockUpgrade_keyword,,Keywords,KgNone,Melhorar,Améliorer,aufgewertet,,Mejora
ObjectiveBuff_keyword,,Keywords,KgNone,Obter,Obtenir,Erhalten,,Consigue
ObjectiveCraft_keyword,,Keywords,KgNone,Criar,Fabriquez,gefertigt,,Fabrica
ObjectiveExchangeItemFrom_keyword,,Keywords,KgNone,Encher,Remplir,Füllen,,Llena
ObjectiveFetch_keyword,,Keywords,KgNone,Coletar,Collectez,gesammelt,,Reúne
ObjectiveFetchContainer_keyword,,Keywords,KgNone,Encontrar,,,,
ObjectiveGoto_keyword,,Keywords,KgNone,Localize o Comerciante,Trouver {0},Finde {0},,Ubicar {0}
ObjectiveLocateSupplies_keyword,,Keywords,New,Localizar Suprimentos,,,,
ObjectiveNearby_keyword,,Keywords,New,Próximo,,,,
ObjectiveOpenWindow_keyword,,Keywords,KgNone,Abrir {0} Janela,Ouvrir la fenêtre {0},Öffne {0}-Fenster,,Abre {0} ventana(s)
ObjectiveRallyPointActivate,,Keywords,New,Ativar o Ponto de Encontro,,,,
ObjectiveRallyPointHeadTo,,Keywords,New,Vá para o Ponto de Encontro,,,,
ObjectiveRepair_keyword,,Keywords,KgNone,Reparar,Réparer,Reparieren,,Repara
ObjectiveScrap_keyword,,Keywords,KgNone,Reciclar,Recycler,Zerlegen,,Desguaza
ObjectiveSpendSkillPoints_keyword,,Keywords,KgNone,Comprar {0} Nível(is) de Habilidade,Acheter {0} niveau(x) de compétence,Kaufe {0} Fertigkeitslevel(s),,Compra {0} nivel(es) de habilidad
ObjectiveTime_keyword,,Keywords,KgNone,Tempo,Durée,Zeit,,Tiempo
ObjectiveTreasureChest_keyword,,Keywords,New,Localize o Tesouro,,,,
ObjectiveWaitForActivate_keyword,,Keywords,New,Esperar para Ativar,,,,
ObjectiveWear_keyword,,Keywords,KgNone,Vestir,Porter,getragen,,Vestir
ObjectiveZombieKill_keyword,,Keywords,KgNone,Matar,Tuer,Töten,,Mata
optional,,Keywords,KgNone,Opcional,Facultative,Optional,,Opcional
RequirementBuff_keyword,,Keywords,KgNone,Efeito,Effet,Effekt,,Efecto
RequirementHolding_keyword,,Keywords,KgNone,Usando,Avec,Unter Verwendung von,,En uso
RequirementLevel_keyword,,Keywords,KgNone,Nível,Niveau,Level,,Nivel
RequirementWearing_keyword,,Keywords,KgNone,Vestindo,Porter,Tragen,,Vestir
RewardExp_keyword,,Keywords,KgNone,XP,EXP,ERF,,EXP
RewardLevel_keyword,,Keywords,KgNone,Nível,Niveau,Level,,Nivel
RewardQuest_keyword,,Keywords,KgNone,Nova Missão,Nouvelle quête,Neue Quest,,Nueva misión
RewardRecipe_keyword,,Keywords,KgNone,Receita Desbloqueada,Composition déverrouillée,Rezept freigeschaltet,,Receta desbloqueada
RewardSkill_keyword,,Keywords,KgNone,Habilidade,Compétence,Fertigkeit,,Habilidad
RewardSkillPoint_keyword,,Keywords,KgNone,Ponto de Habilidade,Point de compétence,Fertigkeitspunkt,,Punto de habilidad
RewardTypeChainQuest,,Keywords,KgNone,Recompensa Adicional,Récompense de série,Serienbelohnung,,Cadena de recompensas
RewardTypeQuest,,Keywords,KgNone,(Recompensa),Récompense,Belohnung,,Recompensa
started,,Keywords,KgNone,Iniciado(a),En cours,Begonnen,,Empezada
Tip_keyword,,Keywords,KeyTrunk FrNone GrNone KgNone SpNone,Dica,Astuce,Tipp,,Consejo
poiLockoutBedroll,,POI Lockout,New,"Tem um saco de dormir colocado dentro do POI indicado pela missão. Por favor, volte mais tarde.",,,,
poiLockoutLandClaim,,POI Lockout,New,"Tem uma proteção de terras colocada dentro do POI indicado pela missão. Por favor, volte mais tarde.",,,,
poiLockoutPlayerInside,,POI Lockout,New,"Tem um jogador dentro do POI indicado pela missão. Por favor, volte mais tarde.",,,,
poiLockoutQuestLock,,POI Lockout,New,"Esta área não está disponível para fazer missões neste momento. Por favor, volte mais tarde.",,,,
airDropTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,"Suprimentos Aéreos pode aparecer em torno do meio-dia. Ouça o avião e siga a fumaça laranja para encontrar a caixa de suprimentos. Você também pode encontrar caixas de suprimentos marcadas no seu mapa, se a opção de marcar os suprimentos aéreos estiver ativada.",Des parachutages de provisions peuvent avoir lieu autour de midi. Tendez l'oreille pour repérer les avions et suivez la fumée orange pour trouver la caisse parachutée. Vous pouvez également repérer des caisses de provisions sur votre carte si l'option de marquage des parachutages est activée.,"Abwürfe von Vorräten können zur Mittagszeit vorkommen. Horche nach den Flugzeugen und folge dem orangefarbenen Rauch, um die Kisten zu finden, die die Flugzeuge fallen gelassen haben. Du kannst Vorratskisten auch auf deiner Karte finden, wenn die Funktion „Abwürfe aus der Luft markieren“ aktiviert ist.",,La entrega aérea de suministros puede suceder alrededor del mediodía. Localiza el zumbido del avión y sigue el humo naranja para encontrar la caja de suministros. También puedes encontrar cajas de suministros en tu mapa si la opción marcar suministros aéreos está activada.
airDropTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Suprimentos Aéreos,Parachutages,Abwurf aus der Luft,,Suministros aéreos
alternateAmmoTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Algumas armas têm mais de um tipo de munição. Segure 'R' (recarregar) para ver e trocar a munição da sua arma.,Certaines armes fonctionnent avec plusieurs types de munitions. Maintenez l'action de rechargement enfoncée pour afficher les types de munitions possibles d'une arme et recharger.,"Einige Waffen funktionieren mit mehr als einem Munitionstyp. Halte die Aktion „Nachladen“, um die möglichen Munitionstypen für eine Waffe anzusehen und zu laden.",,Algunas armas cuentan con más de un tipo de munición. Mantén pulsada la acción de recargar para ver y cargar los tipos posibles de munición de un arma.
alternateAmmoTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Munição Alternativa,Munitions alternatives,Munitionstyp wechseln,,Munición alternativa
augmentGunsTip,,Popup Tip,EnChanged,"Itens como armas de fogo, armas corpo a corpo e armaduras podem ser melhoradas pela instalação de modificadores.\nCada modificador que ocupa um slot de modificador aumenta o dano de uma arma.\n\nClique em “Modificar” na janela de inspeção de item e então, arraste o modificador para dentro de um slot livre.",,,,
augmentGunsTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Modificadores,Améliorer les armes à feu,Waffen verbessern,,Pistolas mejoradas
batteryBankTip,,Popup Tip,,"O banco de baterias permite que você alimente seus componentes elétricos. Requer pelo menos uma bateria (com capacidade de até seis). A potência máxima de energia é determinada pela quantidade e qualidade das baterias instaladas. Um recarregador de bateria alimentado externamente e ligado irá recarregar suas baterias. Se não houver baterias instaladas, ele funcionará como um relé estendendo a linha de energia. Requer um alicate de eletricista para conectar e cortar fios entre componentes elétricos.",,,,
batteryBankTip_title,,Popup Tip,,Banco de Baterias,,,,
bedrollTip,,Popup Tip,EnChanged,"Quando você colocar um Saco de Dormir você verá um Ícone de Cama na sua bússola e no seu mapa. Isso vai levar você de volta para sua casa e irá funcionar como um ponto de respawn se você morrer. Você pode ter apenas um saco de dormir ativo, então o seu último saco de dormir colocado é o seu saco de dormir ativo. Um saco de dormir colocado e ativo irá prevenir respawn de inimigos numa certa área.",,,,
bedrollTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Saco de Dormir,Sac de couchage,Schlafsack,,Saco de dormir
cameraTip,,Popup Tip,,"Se você tem um item elétrico apontável, como uma torreta automática, sensor de movimento ou holofote, você pode definir a posição da mira o abrindo, clicando na área de visão da câmera, segurando o botão esquerdo (ação primária) e mirando para a posição desejada. Quando terminar, aperte ESC e saia do componente.",,,,
cameraTip_title,,Popup Tip,,Câmera,,,,
campfireTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,"Fogueiras são usadas para manter você aquecido, cozinhar alimentos, purificar água e para criar itens químicos. Você deve colocar madeira ou objetos queimáveis no slot de combustível para usá-la. Desbloqueie ainda mais receitas na fogueira adicionando uma panela, uma grelha e um béquer no slot de utensílios. Segure 'E' (interagir) e selecione ''Retirar'' para retirar qualquer Estação de Trabalho dentro da sua área de declaração de terras.",,,,
campfireTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Fogueiras,Feux de camp,Lagerfeuer,,Fogatas
cementMixerTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,A Betoneira lhe ajuda a criar concreto e asfalto para fazer paredes de bases mais fortes e pode moer pedras para fazer areia. Segure 'E' (interagir) e selecione ''Retirar'' para retirar qualquer Estação de Trabalho dentro da sua área de declaração de terras.,,,,
cementMixerTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Betoneira,Bétonnière,Zementmischer,,Hormigonera
chemistryStationTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,"A mesa de química possibilita que você crie itens químicos, líquidos e compostos. Embora algumas receitas também estejam disponíveis na Fogueira, a mesa de química exige menos recursos. Segure 'E' (interagir) e selecione ''Retirar'' para retirar qualquer Estação de Trabalho dentro da sua área de declaração de terras.",,,,
chemistryStationTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Mesa de Química,Atelier de chimie,Chemiestation,,Estación de química
coldWeatherTip,,Popup Tip,EnChanged,"Se você está ficando com frio, você pode combater isso vestindo roupas, ficando dentro de casa, ficando perto do fogo ou carregando uma tocha. Itens com classificação de resistência ao frio alta são melhores e oferecem mais proteção contra o tempo frio. Você pode ver a classificação de resistência ao frio dos itens, examinado eles.",,,,
coldWeatherTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Clima Frio,Températures basses,Kaltes Wetter,,Clima frío
encumbranceTip,,Popup Tip,New,Sobrecarga,,,,
encumbranceTip_title,,Popup Tip,New,"Se muitos slots no seu inventário estiverem cheios, então você ficará sobrecarregado. Apenas o número total é importante.\n\nO benefício ''Burro de Carga'', assim como efeitos ou itens podem aumentar o número de slots desbloqueados.",,,,
farmingTip,,Popup Tip,EnChanged,"Use suas mãos ou alguma ferramenta para colher as plantações. Depois que você estiver comprado o nível necessário do benefício 'Vivendo da Terra', você poderá fabricar sementes de plantações colhidas. As sementes só podem ser plantadas no solo arado. Use o botão direito (ação secundária) enquanto segura uma ''Enxada de Jardinagem'' para transformar a terra comum em terra fértil. Plante as sementes no solo arado o botão direito (ação secundária) e aumente o rendimento da sua colheita comprando mais níveis do benefício.",,,,
farmingTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Agricultura,Culture,Ackerbau,,Agricultura
firstAidTip,,Popup Tip,EnChanged,"Se cure ou pare um sangramento com uma Atadura, Bandagem de Primeiros Socorros, Kit de Primeiros Socorros ou uma Bolsa de Sangue usando o botão esquerdo (ação primária). Cure os outros com os mesmos itens usando o botão direito (ação secundária).\n\nUse bandagens ou kits médicos para restaurar sua barra de saúde máxima, que é a parte preta mostrada na barra de saúde.",,,,
firstAidTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Primeiros Socorros,Premiers soins,Erste Hilfe,,Primeros auxilios
forgeTip,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,"Forjas são usadas para derreter metais e recursos usados para criar mais receitas. As receitas da forja só podem ser criadas usando recursos derretidos, e não itens do seu inventário. Desbloqueie ainda mais receitas na forja adicionando uma bigorna, um cadinho e um kit de ferramentas. Segure 'E' (interagir) e selecione ''Retirar'' para retirar qualquer Estação de Trabalho dentro da sua área de declaração de terras.",,,,
forgeTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Forjas,,,,
generatorBankTip,,Popup Tip,,"O gerador de energia permite que você alimente seus componentes elétricos. Requer pelo menos um motor pequeno (com capacidade de até seis). A potência máxima de energia é determinada pela quantidade e qualidade dos motores pequenos instalados. O gerador de energia usa gasolina como combustível que pode ser encontrada em pilhagens, comprada com comerciantes ou criada em mesas de química e fogueiras. Requer um alicate de eletricista para conectar e cortar fios entre componentes elétricos.",,,,
generatorBankTip_title,,Popup Tip,,Gerador de Energia,,,,
gunAssemblyTip,,Popup Tip,EnChanged,"Para montar Armas de Fogo ou Ferramentas Motorizadas, você deve ter todas as partes no seu inventário e ter lido o livro ou esquema. Para fazer isso, selecione uma parte no seu inventário e clique em ''Montar''. Para ver essas receitas, selecione uma das partes e clique em ''Receitas''.",,,,
gunAssemblyTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Montagem,Assemblage d'objet,Gegenstand zusammensetzen,,Armado de objeto
harvestTip,,Popup Tip,EnChanged,Use alguma ferramenta ou arma cortante como uma Faca de Osso para esfolar um animal. Use uma chave inglesa para desmontar carros e itens mecânicos para conseguir recursos avançados. Benefícios podem aumentar o ganho de recursos em várias áreas.,,,,
harvestTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Coletando Recursos,Récolte des ressources,Rohstoffe abbauen,,Recolección de recursos
hotWeatherTip,,Popup Tip,EnChanged,"Se você está se superaquecendo, você pode combater isso vestindo roupas, tomando certas bebidas, e ficando dentro de casa. Itens com classificação de resistência ao calor alta são melhores e oferecem mais proteção contra o tempo quente. Você pode ver a classificação de resistência ao calor dos itens, examinado eles.",,,,
hotWeatherTip_title,,Popup Tip,KeyTrunk FrNone GrNone KgNone SpNone,Clima Quente,Températures élevées,Heißes Wetter,,Clima caluroso
landClaimTip,,Popup Tip,,"Uma proteção de terras concede um modificador de resistência para todos os blocos na sua área de declaração. Esse modificador de resistência se aplica a qualquer ataque ou dano aos blocos por jogadores inimigos. Você também pode retirar e mover componentes elétricos e estações de trabalho dentro da sua declaração. Itens Elétricos fora da sua declaração pode ser cortado e ligado por estranhos. Quando colocar um bloco dentro da sua declaração de terras, você verá um contorno verde em volta da prévia de posicionamento do bloco. As cores dos posicionamentos de blocos são: ''Verde'' dentro da sua declaração, ''Amarelo'' dentro da declaração de seus aliados, ''Branco'' em qualquer outro lugar, ''Vermelho'' não pode colocar bloco. Você pode ter apenas um bloco de proteção de terras ativa por vez. Colocar outro desativará seu bloco anterior. Os inimigos não respawnarão dentro da sua área protegida.",,,,
landClaimTip_title,,Popup Tip,,Proteção de Terras,,,,
meleeToolWireToolTip,,Popup Tip,,"Use um alicate de eletricista para conectar componentes elétricos. O primeiro componente que você conectar o fio será o componente pai. Mire em qualquer componente elétrico e use o botão direito (ação secundária) para adicionar um fio nesse componente e mais uma vez para completar a conexão com o outro componente. Mire em qualquer componente elétrico e use o botão esquerdo (ação primária) para remover ou cortar o fio dos componentes do seu componente pai. Com o alicate de eletricista equipado, você pode ver muitas coisas úteis, incluindo: o uso de energia de componentes e status de energia atual, O fluxo de energia representado nos fios por um pulso em movimento do componente pai para o componente filho e a posição e o ângulo de visão dos objetos com o sensor de movimento.",,,,
meleeToolWireToolTip_title,,Popup Tip,,Alicate de Eletricista,,,,
miningTip,,Popup Tip,,"Todos os biomas têm minério de ferro e uma chance baixa de ter todos os minérios. Cada bioma tem um minério predominante que pode ser visto em pequenas porções na superfície e encontrado nesse bioma perto da rocha matriz. Minérios especiais por bioma são nitrato na neve e terra devastada, chumbo na floresta, carvão nas planícies e florestas queimadas, e xisto betuminoso no deserto.\nRochas são normalmente encontradas onde tem veios de minério perto da superfície.\nCave uma mancha de cascalho perto de uma rocha e você recebe 1 do minério encontrado abaixo. Siga a trilha de cascalho para encontrar o veio de minério.\nArgila pode ser encontrada cavando em quase toda parte.",,,,
miningTip_title,,Popup Tip,,Mineração,Extraction minière,Bergbau,,Minería
onFireTip,,Popup Tip,New,"Algumas armas, zumbis, ou partes do ambiente pode colocar fogo em você. Para apagar o fogo, você pode entrar na água, mergulhar, ou 'tomar' algo líquido, como um frasco de água. Tomar água também impedirá de ser incendiado por 10 segundos.",,,,
onFireTip_title,,Popup Tip,New,Pegando Fogo,,,,
